,,,EP0,,,EP1,,,EP2,,,EP3,,,Lumens,,,,,Wavelengths,,,,Red,,,,Green,,,,Blue,,,,EP,,,,,Fill Factor-Red,,,,Fill Factor-Green,,,,Fill Factor-Blue,,,
date,Frames,,Y,u',v',Y,u',v',Y,u',v',Y,u',v',--get-calibration-output-lumens,Target Lumens,Estimated Lumens,Whitex,Whitey,R,G,B,HOE,DE,Angle,BW,λ,DE,Angle,BW,λ,DE,Angle,BW,λ,x(°),y(°),z(mm),FoR,Frame Rate,0,1,2,3,0,1,2,3,0,1,2,3
,Target,,,0.198,0.468,,0.198,0.468,,0.198,0.468,,0.198,0.468,,,,,,,,,,11-20%,52+/-1.5,,,,,,,,,,,,,,11,,,,,,,,,,,,,
18-Mar-19,FF0264,,1512,0.190,0.509,996,0.295,0.425,1295,0.255,0.446,1513,0.213,0.491,,,0.100000,,,,,,170928-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-21,FF0259,,1437,0.117,0.391,1410,0.106,0.431,1322,0.100,0.442,1461,0.124,0.372,,0.110,0.110000,,,,,,180228-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Apr-4,FF0265,,729,0.295,0.411,600,0.269,0.426,663,0.258,0.444,437,0.345,0.396,,,0.105000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Apr-4,FF0273,,1373,0.203,0.485,1068,0.265,0.378,1036,0.268,0.420,1234,0.224,0.432,,0.125,0.121481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Apr-12,FF0312,,500,0.213,0.461,240,0.273,0.369,234,0.228,0.446,502,0.240,0.403,,0.100,0.100000,,,,,,180313-130,12.5%,48.5,15.2,,11.4%,48.6,12.7,,22.3%,50.8,11.4,,,,,,53.5,,,,,,,,,,,,
18-May-3,FF0267,,826,0.211,0.423,900,0.194,0.462,758,0.197,0.467,890,0.212,0.430,0.100,0.085,0.085000,0.29,0.31,636.5,516.1,448.9,171108-01,26.4%,51.3,15.4,639.0,23.3%,51.9,12.7,519.0,23.8%,51.9,11.2,450.0,,,,,53.6,,,,,,,,,,,,
18-May-2,FF0266,,601,0.253,0.434,806,0.212,0.470,811,0.206,0.477,496,0.266,0.433,0.120,0.100,0.100000,0.30,0.32,634.8,514.4,447.8,171107-21,24.5%,50.3,16.7,639.0,20.3%,51.1,12.7,519.0,19.6%,50.8,11.8,450.0,,,,,54.0,,,,,,,,,,,,
18-Apr-9,FF0282,,914,0.418,0.513,1311,0.334,0.507,1286,0.314,0.507,996,0.451,0.514,0.125,0.120,0.120000,0.33,0.31,636.5,514.4,448.3,180319-346,35.7%,50.7,17.3,639.0,14.8%,51.0,13.1,519.0,8.8%,53.7,11.3,450.0,,,,,52.0,,,,,,,,,,,,
